sample-id	community-number	community-name	chem-code	Amoxicillin	Chlorothalonil	Diflufenican	Glyphosate	Imidacloprid	Metaldehyde	Oxytetracycline	Tebuconazole	complexity	well	plate
c06w17E11	6	R_ID_7.16_6_R5(1)_TSS	AGIM	1	0	0	1	1	1	0	0	4	E11	17
c06w2D9	6	R_ID_7.16_6_R5(1)_TSS	ACMO	1	1	0	0	0	1	1	0	4	D9	2
c06w2E11	6	R_ID_7.16_6_R5(1)_TSS	AGIM	1	0	0	1	1	1	0	0	4	E11	2
c06w20D4	6	R_ID_7.16_6_R5(1)_TSS	ACDGIMOT	1	1	1	1	1	1	1	1	8	D4	20
c06w20D9	6	R_ID_7.16_6_R5(1)_TSS		0	0	0	0	0	0	0	0	0	D9	20
c06w3G6	6	R_ID_7.16_6_R5(1)_TSS	DGIT	0	0	1	1	1	0	0	1	4	G6	3
c06w6B2	6	R_ID_7.16_6_R5(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	6
c06w6C2	6	R_ID_7.16_6_R5(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	6
c06w6C4	6	R_ID_7.16_6_R5(1)_TSS	AO	1	0	0	0	0	0	1	0	2	C4	6
c06w6D2	6	R_ID_7.16_6_R5(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	6
c06w6E2	6	R_ID_7.16_6_R5(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	6
c06w6E5	6	R_ID_7.16_6_R5(1)_TSS	DG	0	0	1	1	0	0	0	0	2	E5	6
c06w8F4	6	R_ID_7.16_6_R5(1)_TSS	CDOT	0	1	1	0	0	0	1	1	4	F4	8
c06w8G6	6	R_ID_7.16_6_R5(1)_TSS	DGIT	0	0	1	1	1	0	0	1	4	G6	8
c06w1B2	6	R_ID_7.16_6_R5(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	1
c06w1B5	6	R_ID_7.16_6_R5(1)_TSS	CM	0	1	0	0	0	1	0	0	2	B5	1
c06w1E2	6	R_ID_7.16_6_R5(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	1
c06w1E6	6	R_ID_7.16_6_R5(1)_TSS	GM	0	0	0	1	0	1	0	0	2	E6	1
c06w1F2	6	R_ID_7.16_6_R5(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	1
c06w1G2	6	R_ID_7.16_6_R5(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	1
c06w11B3	6	R_ID_7.16_6_R5(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	11
c06w11C3	6	R_ID_7.16_6_R5(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	11
c06w11D7	6	R_ID_7.16_6_R5(1)_TSS	IT	0	0	0	0	1	0	0	1	2	D7	11
c06w11E5	6	R_ID_7.16_6_R5(1)_TSS	DG	0	0	1	1	0	0	0	0	2	E5	11
c06w11E6	6	R_ID_7.16_6_R5(1)_TSS	GM	0	0	0	1	0	1	0	0	2	E6	11
c06w11F2	6	R_ID_7.16_6_R5(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	11
c06w11G3	6	R_ID_7.16_6_R5(1)_TSS	AI	1	0	0	0	1	0	0	0	2	G3	11
c06w16B3	6	R_ID_7.16_6_R5(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	16
c06w16B5	6	R_ID_7.16_6_R5(1)_TSS	CM	0	1	0	0	0	1	0	0	2	B5	16
c06w16C3	6	R_ID_7.16_6_R5(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	16
c06w16C4	6	R_ID_7.16_6_R5(1)_TSS	AO	1	0	0	0	0	0	1	0	2	C4	16
c06w16D2	6	R_ID_7.16_6_R5(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	16
c06w16D5	6	R_ID_7.16_6_R5(1)_TSS	CT	0	1	0	0	0	0	0	1	2	D5	16
c06w16D7	6	R_ID_7.16_6_R5(1)_TSS	IT	0	0	0	0	1	0	0	1	2	D7	16
c06w16G2	6	R_ID_7.16_6_R5(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	16
c07w1B2	7	R_ID_7.16_7_R1(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	1
c07w1C2	7	R_ID_7.16_7_R1(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	1
c07w1C6	7	R_ID_7.16_7_R1(1)_TSS	DT	0	0	1	0	0	0	0	1	2	C6	1
c07w1F2	7	R_ID_7.16_7_R1(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	1
c07w1F3	7	R_ID_7.16_7_R1(1)_TSS	AG	1	0	0	1	0	0	0	0	2	F3	1
c07w1G6	7	R_ID_7.16_7_R1(1)_TSS	GT	0	0	0	1	0	0	0	1	2	G6	1
c07w10G11	7	R_ID_7.16_7_R1(1)_TSS		0	0	0	0	0	0	0	0	0	G11	10
c07w11B3	7	R_ID_7.16_7_R1(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	11
c07w11C3	7	R_ID_7.16_7_R1(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	11
c07w11G6	7	R_ID_7.16_7_R1(1)_TSS	GT	0	0	0	1	0	0	0	1	2	G6	11
c07w12F10	7	R_ID_7.16_7_R1(1)_TSS	ADIO	1	0	1	0	1	0	1	0	4	F10	12
c07w15B7	7	R_ID_7.16_7_R1(1)_TSS		0	0	0	0	0	0	0	0	0	B7	15
c07w15D4	7	R_ID_7.16_7_R1(1)_TSS	ACDGIMOT	1	1	1	1	1	1	1	1	8	D4	15
c07w16B2	7	R_ID_7.16_7_R1(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	16
c07w16D2	7	R_ID_7.16_7_R1(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	16
c07w16E3	7	R_ID_7.16_7_R1(1)_TSS	AD	1	0	1	0	0	0	0	0	2	E3	16
c07w17E11	7	R_ID_7.16_7_R1(1)_TSS	AGIM	1	0	0	1	1	1	0	0	4	E11	17
c07w20D4	7	R_ID_7.16_7_R1(1)_TSS	ACDGIMOT	1	1	1	1	1	1	1	1	8	D4	20
c07w3E5	7	R_ID_7.16_7_R1(1)_TSS	CGMT	0	1	0	1	0	1	0	1	4	E5	3
c07w6B7	7	R_ID_7.16_7_R1(1)_TSS	IM	0	0	0	0	1	1	0	0	2	B7	6
c07w6C2	7	R_ID_7.16_7_R1(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	6
c07w6C3	7	R_ID_7.16_7_R1(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	6
c07w6D2	7	R_ID_7.16_7_R1(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	6
c07w6E3	7	R_ID_7.16_7_R1(1)_TSS	AD	1	0	1	0	0	0	0	0	2	E3	6
c07w8F4	7	R_ID_7.16_7_R1(1)_TSS	CDOT	0	1	1	0	0	0	1	1	4	F4	8
c07w1B3	7	R_ID_7.16_7_R1(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	1
c07w1C5	7	R_ID_7.16_7_R1(1)_TSS	CO	0	1	0	0	0	0	1	0	2	C5	1
c07w1G2	7	R_ID_7.16_7_R1(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	1
c07w11B5	7	R_ID_7.16_7_R1(1)_TSS	CM	0	1	0	0	0	1	0	0	2	B5	11
c07w11C6	7	R_ID_7.16_7_R1(1)_TSS	DT	0	0	1	0	0	0	0	1	2	C6	11
c07w11C7	7	R_ID_7.16_7_R1(1)_TSS	IO	0	0	0	0	1	0	1	0	2	C7	11
c07w11F3	7	R_ID_7.16_7_R1(1)_TSS	AG	1	0	0	1	0	0	0	0	2	F3	11
c07w11G2	7	R_ID_7.16_7_R1(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	11
c07w13E5	7	R_ID_7.16_7_R1(1)_TSS	CGMT	0	1	0	1	0	1	0	1	4	E5	13
c07w16B7	7	R_ID_7.16_7_R1(1)_TSS	IM	0	0	0	0	1	1	0	0	2	B7	16
c07w18F4	7	R_ID_7.16_7_R1(1)_TSS	CDOT	0	1	1	0	0	0	1	1	4	F4	18
c07w2E11	7	R_ID_7.16_7_R1(1)_TSS	AGIM	1	0	0	1	1	1	0	0	4	E11	2
c07w6B5	7	R_ID_7.16_7_R1(1)_TSS	CM	0	1	0	0	0	1	0	0	2	B5	6
c07w6C5	7	R_ID_7.16_7_R1(1)_TSS	CO	0	1	0	0	0	0	1	0	2	C5	6
c07w6E2	7	R_ID_7.16_7_R1(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	6
