"PlateTrue","Rep","Community","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","PlateWell","TruePlateWell","AUC"
11,3,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,0,0,1,"1C2","11C2",19.1540903413501
16,4,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,0,0,1,"1C2","16C2",18.9134663778372
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,0,0,1,1,"1C3","1C3",20.451894651672
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,0,0,1,1,"1C3","6C3",19.6296617230709
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,0,0,1,1,"1C3","11C3",20.1635071013434
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,0,0,1,1,"1C3","16C3",20.0844215679555
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,1,0,2,"1C4","1C4",22.7125851101507
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,1,0,2,"1C4","6C4",22.0213360568422
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,1,0,2,"1C4","11C4",22.2944545934107
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,1,0,2,"1C4","16C4",22.051940709785
1,1,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,1,0,2,"1C5","1C5",21.5714340880102
6,2,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,1,0,2,"1C5","6C5",21.8253688854108
11,3,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,1,0,2,"1C5","11C5",22.2337155231198
16,4,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,1,0,2,"1C5","16C5",21.923799063315
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,0,0,0,1,2,"1C6","1C6",20.3913909067414
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,0,0,0,1,2,"1C6","6C6",20.029870107977
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,0,0,0,1,2,"1C6","11C6",20.0128110647064
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,0,0,0,1,2,"1C6","16C6",20.1904625704877
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,1,0,2,"1C7","1C7",19.5411557650657
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,1,0,2,"1C7","6C7",18.6853158775655
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,1,0,2,"1C7","11C7",19.0447055403712
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,1,0,2,"1C7","16C7",18.7078971378232
1,1,"R_ID_7.16_10_R10(1)_TSS",1,1,0,1,0,0,0,0,3,"1C8","1C8",19.5092104781356
6,2,"R_ID_7.16_10_R10(1)_TSS",1,1,0,1,0,0,0,0,3,"1C8","6C8",19.4256196360807
11,3,"R_ID_7.16_10_R10(1)_TSS",1,1,0,1,0,0,0,0,3,"1C8","11C8",19.391252217693
16,4,"R_ID_7.16_10_R10(1)_TSS",1,1,0,1,0,0,0,0,3,"1C8","16C8",19.671243818439
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,1,0,0,0,3,"1C9","1C9",20.5659831625284
