"","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Well","Plate","Complexity","ChemCode"
"96",0,0,1,0,0,0,1,1,"E5",2,3,"DOT"
"97",0,0,0,1,0,0,1,1,"E6",2,3,"GOT"
"98",1,1,1,0,1,0,0,0,"E7",2,4,"ACDI"
"99",1,1,0,1,0,0,1,0,"E8",2,4,"ACGO"
"100",1,1,0,0,0,1,0,1,"E9",2,4,"ACMT"
"101",1,0,1,0,1,0,1,0,"F10",2,4,"ADIO"
"102",1,0,0,1,1,0,1,0,"F11",2,4,"AGIO"
"103",0,1,0,1,0,0,1,0,"F2",2,3,"CGO"
"104",0,1,0,0,0,1,0,1,"F3",2,3,"CMT"
"105",0,0,1,0,1,1,0,0,"F4",2,3,"DIM"
"106",0,0,0,1,1,1,0,0,"F5",2,3,"GIM"
"107",0,0,0,0,1,1,1,0,"F6",2,3,"IMO"
"108",1,1,1,0,0,1,0,0,"F7",2,4,"ACDM"
"109",1,1,0,1,0,0,0,1,"F8",2,4,"ACGT"
"110",1,1,0,0,0,0,1,1,"F9",2,4,"ACOT"
"111",1,0,1,0,1,0,0,1,"G10",2,4,"ADIT"
"112",1,0,0,1,1,0,0,1,"G11",2,4,"AGIT"
"113",0,1,0,1,0,0,0,1,"G2",2,3,"CGT"
"114",0,1,0,0,0,0,1,1,"G3",2,3,"COT"
"115",0,0,1,0,1,0,1,0,"G4",2,3,"DIO"
"116",0,0,0,1,1,0,1,0,"G5",2,3,"GIO"
"117",0,0,0,0,1,1,0,1,"G6",2,3,"IMT"
"118",1,1,1,0,0,0,1,0,"G7",2,4,"ACDO"
"119",1,1,0,0,1,1,0,0,"G8",2,4,"ACIM"
"120",1,0,1,1,1,0,0,0,"G9",2,4,"ADGI"
"121",1,1,1,0,1,0,0,1,"B10",3,5,"ACDIT"
"122",1,1,0,1,1,0,0,1,"B11",3,5,"ACGIT"
"123",1,0,0,1,0,1,1,0,"B2",3,4,"AGMO"
"124",1,0,0,0,0,1,1,1,"B3",3,4,"AMOT"
"125",0,1,1,0,1,0,1,0,"B4",3,4,"CDIO"
"126",0,1,0,1,1,0,1,0,"B5",3,4,"CGIO"
"127",0,1,0,0,1,1,0,1,"B6",3,4,"CIMT"
"128",0,0,1,1,0,1,1,0,"B7",3,4,"DGMO"
"129",0,0,1,0,0,1,1,1,"B8",3,4,"DMOT"
"130",1,1,1,1,1,0,0,0,"B9",3,5,"ACDGI"
"131",1,1,1,0,0,1,1,0,"C10",3,5,"ACDMO"
"132",1,1,0,1,0,1,1,0,"C11",3,5,"ACGMO"
"133",1,0,0,1,0,1,0,1,"C2",3,4,"AGMT"
"134",0,1,1,1,1,0,0,0,"C3",3,4,"CDGI"
"135",0,1,1,0,1,0,0,1,"C4",3,4,"CDIT"
"136",0,1,0,1,1,0,0,1,"C5",3,4,"CGIT"
"137",0,1,0,0,1,0,1,1,"C6",3,4,"CIOT"
"138",0,0,1,1,0,1,0,1,"C7",3,4,"DGMT"
"139",0,0,0,1,1,1,1,0,"C8",3,4,"GIMO"
"140",1,1,1,1,0,1,0,0,"C9",3,5,"ACDGM"
"141",1,1,1,0,0,1,0,1,"D10",3,5,"ACDMT"
"142",1,1,0,1,0,1,0,1,"D11",3,5,"ACGMT"
"143",1,0,0,1,0,0,1,1,"D2",3,4,"AGOT"
"144",0,1,1,1,0,1,0,0,"D3",3,4,"CDGM"
"145",0,1,1,0,0,1,1,0,"D4",3,4,"CDMO"
"146",0,1,0,1,0,1,1,0,"D5",3,4,"CGMO"
"147",0,1,0,0,0,1,1,1,"D6",3,4,"CMOT"
"148",0,0,1,1,0,0,1,1,"D7",3,4,"DGOT"
"149",0,0,0,1,1,1,0,1,"D8",3,4,"GIMT"
"150",1,1,1,1,0,0,1,0,"D9",3,5,"ACDGO"
"151",1,1,1,0,0,0,1,1,"E10",3,5,"ACDOT"
"152",1,1,0,1,0,0,1,1,"E11",3,5,"ACGOT"
"153",1,0,0,0,1,1,1,0,"E2",3,4,"AIMO"
"154",0,1,1,1,0,0,1,0,"E3",3,4,"CDGO"
"155",0,1,1,0,0,1,0,1,"E4",3,4,"CDMT"
"156",0,1,0,1,0,1,0,1,"E5",3,4,"CGMT"
"157",0,0,1,1,1,1,0,0,"E6",3,4,"DGIM"
"158",0,0,1,0,1,1,1,0,"E7",3,4,"DIMO"
"159",0,0,0,1,1,0,1,1,"E8",3,4,"GIOT"
"160",1,1,1,1,0,0,0,1,"E9",3,5,"ACDGT"
"161",1,1,0,1,1,1,0,0,"F10",3,5,"ACGIM"
"162",1,1,0,0,1,1,1,0,"F11",3,5,"ACIMO"
"163",1,0,0,0,1,1,0,1,"F2",3,4,"AIMT"
"164",0,1,1,1,0,0,0,1,"F3",3,4,"CDGT"
"165",0,1,1,0,0,0,1,1,"F4",3,4,"CDOT"
"166",0,1,0,1,0,0,1,1,"F5",3,4,"CGOT"
"167",0,0,1,1,1,0,1,0,"F6",3,4,"DGIO"
"168",0,0,1,0,1,1,0,1,"F7",3,4,"DIMT"
"169",0,0,0,1,0,1,1,1,"F8",3,4,"GMOT"
"170",1,1,1,0,1,1,0,0,"F9",3,5,"ACDIM"
"171",1,1,0,1,1,0,1,0,"G10",3,5,"ACGIO"
"172",1,1,0,0,1,1,0,1,"G11",3,5,"ACIMT"
"173",1,0,0,0,1,0,1,1,"G2",3,4,"AIOT"
"174",0,1,1,0,1,1,0,0,"G3",3,4,"CDIM"
"175",0,1,0,1,1,1,0,0,"G4",3,4,"CGIM"
"176",0,1,0,0,1,1,1,0,"G5",3,4,"CIMO"
